foto,arquivo,sala,caixas,controles,periodos,classificacao,tipoDocumento,confiancaMedia,textoResumo
"IMG_8198","IMG_8198.jpg","A classificar","","","","","","0.771","aE | FROTOCOLO | LuVROS | (GAB/ITEY) | DE"
"IMG_8199","IMG_8199.jpg","Sala do IML","","","2010; 2012; 2010-2018; 2014; 2011-2012","","Livros","0.836","9 | IML | iML | A | 11554 | 1553 | JJ534 | Arquivo | LIVROS | Prático | 三 | Arquivo | CAAN | Prátice | 11 | 2010 | Arquio | Prático | ANAA OENTPNA | pD07 | CMaAN | 15 | 2012 | 12O07 | 28 | 2010-2018 | Arquivo | 18 | Arquivo | Prfics | 2014 | 14 | 2011-2012"
"IMG_8200","IMG_8200.jpg","A classificar","","","","","","0.844","2121 | 24 | 30 | 51"
"IMG_8201","IMG_8201.jpg","Sala do IML","15","","2000; 2018; 2019; DE 2020; 2021","","Guias de requisicoes","0.886","ANO | MÊS | ANO | CAiKA | refarència | 2000 | local | data | contém; | GUIAS DE | GUIAS DE | REQUISIÇÕES | REQUISIÇÕES | BOX | BOX | 2018 | 2018 | arquivo | Aialat | Arquivo | Arquivo | Fácil | Data | NavaOndn | Polibran | lovaOnda | GUIAS DE | GUIAS DE | GUIAS DE | GUIAS DE | REQUISIÇÕES GUIAS DE | GUIAS DE | REQUISIÇÕES | REQUISIÇÕES | REQUISIÇÕES | 2019 | REQUISIÇÕES | REQUISIÇÕES | DE 2020 | DE 2020 | 2018 | 2019 | 2019 | referência | releréncia | referéncia | local | REQUISIÇÕES | REQUISIÇÕES | REQUISIÇÕES | 2021 | 2021 | GUIAS DE | 2021 | ÁGUA | CENTRAIS | REQUISIÇÕES | IC | CAFÉ | 1I | DE 2020 | IML | REGIONAIS | ADM | arqulvo | NDplat | arquivo | Rplat | argulvo | eplast | polycart | pello. | nfopuagwo | EE07 | OIDD1TX Wa | ARQUIVD GERAL | ontém | oavIAVXoNTy | oa SaooiSInoaa | Data"
"IMG_8202","IMG_8202.jpg","Sala do IML","15","100.015","2021; DE 2020; 2021 A 2023.","Medicina legal","","0.92","2021 | CENTRAIS | 2021 | GUIAS DE | ÁGUA | IC | II | REQUISIÇÕES | CAFÉ | IML | ADM | DE 2020 | REGIONAIS | arquivo | Aaplast | arquivo | Aaplast | arquivo | Aaplast | :ontém | .acal | teferância | ARQUIVO GERAL | CE A - MODELO DE ETIQUETA PARA SINALIZAÇÃO DE CADKA | ARQUIVO | Data | Contaúdo: | ISTITUTO TÉCNICO-CIENTIFICO DE PERICIA DO | RIO GRANDE DO NORTE | TUTDREGIONALSETOR | INSTTUTO DE MEDICINA LEGAL | CLASSIFICAÇÃO | PERIGIA PSICOLOGICA | TIPO DE DOCUMIENTO | DO AL MOXARIFADO. | RQUIVAMENTO DE REGUISICGES | polycart | CAIXAN° | 15 | N° DE CONTROLE | 100.015 | ARQuvo Dello. | ANO /PERÍODO | 2021A2023."
"IMG_8203","IMG_8203.jpg","A classificar","5; 1; 2; 3; 4; 6; 11; 8","100.005; 100.002; 100.006; 100.001; 100.003; 100.004; 100.007; 100.010","2020(201 A 250); 2020(51 A 100); 2021(01 A 100); 2020(01 A 50); 2020(101 A 150); 2020(151 A 200); 2021(301 A 336); 2021(101 A 200)","Pericia psicologica","Laudos periciais","0.89","2 | 2 | ARQUIVD GERAL | ARQUIVO GERAL | Mo10 DE | ARGunvO | RIO GRANDE DO NORTE | u0 | RIO GRANDE DO NORTE | NSTITUTO TÉCNICO-CIENTIFICO DE PERICIA DO | JREOCAAL/ETOR | INSTTTUTO CE MEDIC | RIO GRANDE DO NORT: | RIO GRANDE DO NORTE | HEGACAALSETDR | RIO GRANDE DO NORTE | RIO GRANDE DO NORTE | INSTUTO.DE MEDICNA LEGAL | CAssPcAÇÃO | PERICIA PSICOLOGICA | ssFcacin | TYTUTOREGIONAL/SETOR | NSTITUTO DE MEOICINA LEGA | TVnORROCAA/SETOR | 3 DE DOOUMENTO | CLASSIFICAÇÃD | PERICIA PSICOLOGICA | CLAssPCAÇÃO | o OE DOcuMENTo | CLA35 | CLAssnCACÃO | PEaicIA PsucOLÓICA | CAIXA N° | 5 | TIPO DE DOCuMENTO | LAUDOS | CAIXA N° | TIPO DE DOCUMENTo | LAUDOS PET | TPO DE DOCuAENTO | CAIXA N° | CAIXA N° | 1 | 2 | CAIXA N° | 3 | CAIXA N° | 4 | N° DE CONTROLE | 6 | 100.005 | N° DE CONTROLE | N° DE CONTROLE | N° DE CONTROLE | 100.002 | N° DE CONTROLE | N° DE CONTROLE | ANOIPERIO0O | 2020(201a250) | 100.006 | 100.001 | 100.003 | 100.004 | ANO/PERIOGO | 2020(51a100) | cERVAÇAO | 2021(01a100) | ANO/PERO0O | 2020(01 a50) | ANO/PERiO0O | 2020(101a150) | AMD/ PERÍODO | 2020(151a200) | OBSERVAÇÃO | cescRvaÇAO | O1d | OBSERVAÇAo | 08SERvAÇÃD | OBSERVaÇÃO | ITEP"
"IMG_8204","IMG_8204.jpg","A classificar","24; 20; 19; 28; 29; 30; 27; 26","100.024; 100.021; 100.022; 100.023; 100.020; 100.019; 100.028; 100.029","2014-2018; 2022; 2021 A 2023.; 2023(201 A 249; 2023(150 A 200); 2023(62 A 99); 2023(100 A 149); 2023(01 A 51)","Pericia psicologica","Laudos periciais","0.872","2014-2018 | ANO/PERODO | 2022 | AND/PERIO0O | 2021A 2023. | 4o | ofsico. | OBSERVAÇÃo | 0 | ARQUVD GERAL | ARQUIVO GERAL | ARQUIVO GERAL | ARQUIV GERAL | ARQUVO | ARQUIVO GERAL | ARQUNO GERAL | ICE A- MODELD DE ETIQUETA PARA SHNALZAÇÃO DE CA | AROUIVO | ICE A= MODELO DE ETIQUETA PARA SINALIEAÇÃO DE CAIKA | ARQUIVO | -MOOELO DE ETIQUETA PARA SINALIEAÇÃO DE CAGA | ARQUVO | NDICE A- MOOELO DE ETIQUETA PARA SINALZAÇÃO DE CAA | HNOICE A -MOOELO DE ETIOUETAPARA SINALIZAÇÃO DECADXA | ARQUNO | AROUVD | INSTITUTO TÉCNICO-CIENTIFICO DE PERICIA D | RIO GRANDE DO NORTE | STT/TOREGIOAALAETOR | INSTTUTO DE MEDE | ICINA LEGAL | NSTITUTO TÉCNICO-CIENTIFICO DE PERICIA DO | RIO GRANDE DO NORTE | NSTITUTO TÉCNICO-CIENTÍFICO DE PERÍCIA DO | NSTITUTO TÉCNICO-CIENTIFICO DE PERÍCIA DO | CLASSIFICAÇÃO | PERICIA PSICOLÓGICA | RIO GRANDE DO NORTE | RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTiFICO DE PERICIA DO | TOREGCALSETOR | INSTTUTO DE MEDICINA LEGAL | TIPO DE DOCUMENTO | LAUDOS PERIGIAIS | NSTITUTO TÉCNICO-CIENTIFICO DE PERICIA DO | RIO GRANDE DO NORTE | CLAsSFCAÇÃO | PERICIA PICOLORCA | mVTORNOONALSETOR NTITVTO DE MEO | PERiCA PSicOLOGIc | CAIXAN | 24 | RIO GRANDE DO NORTE | MSTORMGOAALAETOR INSTTUTO DE MEDICINA LEGAL | CLASsFICAÇÃO | PERCIA PSICOLOGICA | CLASsnCAÇÃO | NNTITUTO DE MECICNA LEGAL | CLASSFICAÇÃO | PERCIA PSCOLÓGICA | PO DE DOCUMENTO | LAUDOS PERICIAIS | 21 | TPO DE DOCUMENTO | LAUDOS PERCAIS | 22 | TPO DE DOCUMENTO | 23 | N'DE CONTROLE | CLASSFICAÇÃO | TPO DE DOCUMENTO | LAUDOS PERCIAIS | CAIXA N° | CAIXAN° | CAIXA N° | 100.024 | TIPO DE DOCUMENTO | LAUDOS PERICIANS | CAIXA N° | 20"
"IMG_8205","IMG_8205.jpg","A classificar","2; 3; 4; 6; 1; 2010; 5; 7","","2003-2004; 2010; 2011-2013; 2006-2007; 2013; 2008; 1999 Á2015; 2008-2009","Direcao geral","Portarias","0.901","POLICIA CIENTÍFICA | POLICIA CIENTIFICA | DO RIO GRANDE DO NORTE | POLICIA CIENTIFICA | POLICIA CIENTIFICA | POLICIA CIENTÍFICA | DO RIO GRANDE DO NORTE | DO RIO GRANDE DO NORTE | POLICIA CIENTIFICA | SETOe | DREÇAOGERA IGARNETE) | DO RIO GRANDE DO NORTE | DO RIO GRANDE DO NORTE | DREÇAO GERA | SETOR | RiChOCERAL | DO RIO GRANDE DO NORTE | MEMORANDOS | TOR | SETOR | DREÇAOGERAL | RECBOS | ETOR | DREein | HEP | sETOR | DRECAO.GERAL | DODENTo | CLATnae | ENTO | 5RECEBDOSL | DOCUMENTOS DVERSOS | DE | ENTC | ENI CS DVERSOS | REBELIAO DE ACACUZ | Coce tPeOSE | CEATOEns | CAIXA N° | CAIXA N° | CAIXAN° | DEMONSTRANDDE RECEITA | CERTFICADO | 2 | 3 | 4 | CAIXA N° | CAIXA N° | CAIXA N° | 机AO 0E ENINO 2218 | 6 | 1 | 2003-2004 | 2010 | 2011-2013 | 5 | ANOPEkioD0 | 2006-2007 | 2013 | WOPERIcDO | ANOPERIODO | 2008 | ANOPERIc00 | 1999 Á2015 | 2008-2009 | ANOPERCOO | 2010-2018 | Arquivo | Arquivo | Aaglast | Arquivo | Arqutvo | Prárico | Alaplest | rqutvo | Pritico | Aiaplast | Prático | Pritico | Alaplast"
"IMG_8206","IMG_8206.jpg","A classificar","24; 22; 21; 2015; 19; 20; 2014; 23","100.037","2015; 2014; 2016; 2017; 2025(234 A 433)","Direcao geral","Portarias","0.859","Arquivo | Arquivo | APqn | Arquivo | Alaplans | Prático | Prdtico | Práico | Arquivo | Alaplass | Arquivo | Aleoltst | Prático | Prático | Prático | DNAO | E2.93 | Referáncla | Retertncl | Raforin | Raferáncls | POLÍCIA CIENTÍFICA | POLÍCIA CIENTÍFICA | POLICIA CIENTÍFICA | DO RIO GRANDE DO NORTE | POLICIA CIENTÍFICA | POLICIA CIENTÍFICA | POLICIA CIENTÍFICA | DO RIO GRANDE DO NORTE | DO RIO GRANDE DO NORTE | SETOR | DIREÇÃOGERAL | DO RIO GRANDE DO NORTE | DO RIO GRANDE DO NORTE | DO RIO GRANDE DO NORTE | DREÇÃOGERAL | sETOR | DIREÇAO GERA | SETOR | CONVITEs; | OFiCIOS EXPEDDOS (271A 77) | DRECAOGERAL | SETOR | DIREÇAO GERAL | SETOR | DIREÇÃOGERAL | SETOR | oriCIOS EXIPEDIDOS (001 A 270 | OFicIOS RECEBD0s | DVERSOS: | CAIXA N° | OFicos EPEDDOs | TPODE | GULA DE TRAMITAÇÃO | DOCUMENTO | CAIXA N° | ESCALAS DE PLANTÃO, | 24 | DOCUNENTO | DOCUNENTo | (REMETENTEEDESTINATARIO | CAIXA N° | GESTAO | DHELA TANERA) | CAIXAN° | 22 | PORTARIAS | CAIXA N° | 21 | CONTRATOS E | ANOPERIODO | 2015 | 19 | 20 | 2015 | ANOPEROO | 2015 | CAIXA N° | 2014 | 2014"
"IMG_8207","IMG_8207.jpg","A classificar","38; 2017; 40; 41; 2018; 42; 45; 2019","","2017; 2018; 2019; 2020; 2022; 2023; 2021; 2024","","","0.849","NanEIUIBY | 2 | POLICA | DO RIO.C | POLICtA CIENTIFICA | DO RIO GRANDE DO NORTE | POLICIA CIENTÍFICA | rtee | aPCADSERA | DO RIO GRANDE DO NORTE | POLICIA CIENTÍFICA | POLICIA CIENTIFICA | DO RIO GRANDE DO NORTE | POLICIA CIENTIFICA | 2o-ne | OriCIOs ERTEOs pet A 36a | sETOR | DREÇAOOERAL | DO RIO GRANDE DO NORTE | CA | oricos EMreoa (at7. 361A | DO RIO GRANDE DO NORTE | CAIXAN° | sETOR | DREÇkOCERAL | HToa | DREÇAO-CERAN | DOeENTo | PROCE5S08 ARGUVADOS | SETOR | CAIXA N° | oricOs RECEBDot | DRECAOSERAL | 38 | ocDENTO | ORANDOS RECEBDON | Avopetcoo | 2017 | 39 | CAIXA N° | CAIXA N° | 40 | 41 | ORANDO6 EMIT EOA | ANOPERio0 | 2018 | 2018 | CAIXA N° | 9O1 RECE95 | 2018 | ANOPEA00O | 2018 | 42 | golyeart | gOlycarl | Dolycart | ANGPERicDc | 2018 | Arquivo | Arquivo | aco | POLÍCIA CIENTÍFICA | DO RIO GRANDE DO NORTE | POLFIA CIENTÍFICA | SETOR | REÇÃO.GERAL | DO RIO GRANDE DO NORTE | C | POLICIA CIENTIFICA | POLICIA CIENTÍFICA | POLICIA CIENTIFICA | DuARD OFCAL | POLÍCIA CIENTÍFICA | sETOR | DREÇAOSERA | DO RIO GRANDE DO NORTE | DO RIO GRANDE DO NORTE | DOLETMADM; | METOR | DREÇÃO GERAL"
